,0-4,5-9,10-12,13-14,15-17,18-19,20-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0-4,NA,NA,NA,0.029,0.02,0.021,0.021,0.036,0.108,0.354,0.416,0.186,0.063,0.021,0.035,0.051,0.059,0.021,0.004
5-9,NA,NA,NA,0.055,0.042,0.019,0.014,0.008,0.047,0.122,0.317,0.395,0.186,0.065,0.024,0.038,0.045,0.03,0.013
10-12,NA,NA,NA,0.082,0.047,0.016,0.012,0.003,0.016,0.03,0.077,0.201,0.175,0.072,0.019,0.014,0.019,0.022,0.009
13-14,0.078,0.154,0.133,0.041,0.066,0.015,0.006,0.009,0.008,0.016,0.063,0.271,0.352,0.213,0.048,0.016,0.019,0.02,0.048
15-17,0.037,0.081,0.052,0.046,0.077,0.05,0.02,0.009,0.01,0.02,0.043,0.117,0.262,0.184,0.089,0.024,0.014,0.012,0.037
18-19,0.054,0.052,0.026,0.015,0.07,0.201,0.087,0.045,0.021,0.019,0.021,0.065,0.151,0.229,0.095,0.016,0.004,0.005,0.034
20-21,0.05,0.036,0.018,0.006,0.026,0.082,0.285,0.153,0.083,0.012,0.01,0.034,0.07,0.186,0.095,0.027,0.008,0.009,0.038
22-24,0.056,0.013,0.003,0.005,0.008,0.027,0.097,0.261,0.177,0.043,0.009,0.013,0.039,0.093,0.067,0.031,0.01,0.009,0.022
25-29,0.094,0.043,0.008,0.003,0.005,0.007,0.03,0.1,0.397,0.153,0.041,0.017,0.015,0.031,0.06,0.036,0.017,0.008,0.013
30-34,0.313,0.114,0.016,0.005,0.01,0.007,0.004,0.025,0.155,0.437,0.172,0.046,0.016,0.018,0.031,0.036,0.025,0.007,0.016
35-39,0.375,0.301,0.042,0.021,0.021,0.007,0.004,0.005,0.043,0.175,0.388,0.167,0.055,0.018,0.01,0.024,0.036,0.023,0.011
40-44,0.184,0.412,0.12,0.101,0.063,0.025,0.014,0.008,0.019,0.051,0.184,0.35,0.174,0.063,0.019,0.017,0.027,0.024,0.018
45-49,0.056,0.172,0.093,0.116,0.125,0.051,0.025,0.022,0.015,0.016,0.053,0.154,0.292,0.139,0.04,0.02,0.017,0.02,0.027
50-54,0.018,0.058,0.037,0.068,0.085,0.075,0.065,0.051,0.03,0.018,0.017,0.054,0.134,0.28,0.132,0.044,0.017,0.015,0.049
55-59,0.033,0.024,0.011,0.017,0.045,0.034,0.036,0.04,0.064,0.033,0.011,0.017,0.042,0.144,0.262,0.123,0.05,0.024,0.042
60-64,0.055,0.043,0.009,0.007,0.014,0.007,0.012,0.022,0.044,0.044,0.029,0.018,0.025,0.056,0.144,0.253,0.133,0.048,0.052
65-69,0.069,0.055,0.013,0.008,0.009,0.002,0.004,0.007,0.023,0.033,0.047,0.032,0.023,0.024,0.063,0.143,0.246,0.115,0.05
70-74,0.025,0.038,0.016,0.009,0.008,0.002,0.005,0.007,0.011,0.01,0.032,0.029,0.027,0.022,0.032,0.054,0.119,0.265,0.132
75+,0.003,0.01,0.004,0.013,0.014,0.009,0.011,0.01,0.01,0.013,0.009,0.013,0.022,0.041,0.032,0.034,0.031,0.078,0.218
