,0-4,5-9,10-12,13-14,15-17,18-19,20-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0-4,NA,NA,NA,0.002,0.001,0.003,0,0,0.001,0.006,0.011,0.005,0.003,0.001,0.004,0.002,0.003,0.003,0
5-9,NA,NA,NA,0.006,0.001,0,0.002,0.003,0.005,0.007,0.025,0.033,0.012,0.015,0.005,0.006,0.007,0.016,0.004
10-12,NA,NA,NA,0.092,0.014,0,0.001,0.001,0.002,0.002,0.004,0.007,0.008,0.009,0.001,0.006,0.001,0.001,0.004
13-14,0.005,0.016,0.149,0.352,0.145,0.011,0,0,0.003,0.006,0.006,0.008,0.001,0.005,0.001,0.004,0.007,0,0.015
15-17,0.003,0.003,0.016,0.1,0.548,0.06,0.002,0.002,0.013,0.002,0.003,0.005,0.007,0.007,0.006,0.003,0.003,0.001,0.004
18-19,0.007,0,0,0.011,0.084,0.153,0.039,0.017,0.008,0.003,0.003,0.007,0,0.01,0.003,0,0,0,0
20-21,0,0.005,0.001,0,0.003,0.037,0.069,0.026,0.01,0.002,0.003,0.005,0.001,0.003,0.002,0,0,0,0
22-24,0,0.005,0.001,0,0.002,0.01,0.016,0.015,0.005,0.001,0.002,0.001,0.001,0.001,0,0.002,0.001,0.003,0.002
25-29,0.001,0.005,0.001,0.001,0.006,0.003,0.004,0.003,0.004,0.003,0.001,0.001,0.001,0.001,0,0.001,0,0,0
30-34,0.005,0.006,0.001,0.002,0.001,0.001,0.001,0.001,0.003,0.003,0.005,0.002,0.002,0.002,0.001,0.002,0.001,0,0.001
35-39,0.01,0.024,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.005,0.006,0.006,0.003,0.002,0.001,0,0,0,0
40-44,0.005,0.034,0.004,0.003,0.003,0.003,0.002,0.001,0.002,0.002,0.006,0.009,0.005,0.003,0.003,0.002,0.001,0.001,0
45-49,0.003,0.011,0.004,0,0.003,0,0,0.001,0.001,0.002,0.003,0.004,0.003,0.002,0.001,0,0,0,0.001
50-54,0.001,0.013,0.005,0.001,0.003,0.003,0.001,0.001,0.001,0.002,0.002,0.003,0.002,0.001,0.002,0.001,0,0,0
55-59,0.004,0.005,0,0,0.003,0.001,0.001,0,0,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0,0,0.001
60-64,0.002,0.006,0.004,0.002,0.001,0,0,0.001,0.001,0.002,0.001,0.002,0,0.001,0.001,0.001,0.001,0,0.004
65-69,0.004,0.009,0.001,0.003,0.002,0,0,0.001,0,0.001,0,0.002,0,0,0,0.001,0,0.001,0
70-74,0.004,0.021,0.001,0,0.001,0,0,0.002,0,0,0,0.001,0,0.001,0,0,0.001,0.001,0.004
75+,0,0.003,0.002,0.004,0.002,0,0,0.001,0,0,0,0,0.001,0,0.001,0.003,0,0.003,0
