,0-4,5-9,10-12,13-14,15-17,18-19,20-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0-4,NA,NA,NA,NA,0.008,NA,0.006,0.032,0.037,0.027,0.027,0.022,0.014,0.015,0.013,0.001,0.002,NA,NA
5-9,NA,NA,NA,NA,0.006,0.002,0.003,0.018,0.02,0.018,0.026,0.017,0.019,0.008,0.017,0.004,0.001,NA,NA
10-12,NA,NA,NA,NA,0.002,NA,0.004,0.004,0.009,0.01,0.006,0.005,0.005,0.01,0.006,0.006,NA,NA,NA
13-14,NA,NA,NA,NA,0.006,NA,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.005,0.007,0.005,NA,NA,NA
15-17,0.014,0.012,0.002,0.004,0.009,0.004,0.005,0.004,0.007,0.005,0.007,0.011,0.008,0.008,0.01,0.01,0.001,NA,0.004
18-19,NA,0.005,NA,NA,0.006,0.013,0.016,0.017,0.027,0.026,0.013,0.013,0.014,0.014,0.017,0.009,0.005,0.006,0.017
20-21,0.014,0.007,0.006,0.001,0.006,0.015,0.023,0.035,0.04,0.052,0.039,0.036,0.031,0.038,0.023,0.014,0.008,0.021,0.089
22-24,0.049,0.029,0.004,0.002,0.003,0.01,0.022,0.06,0.079,0.042,0.03,0.029,0.023,0.027,0.025,0.018,0.017,0.029,0.073
25-29,0.032,0.018,0.005,0.002,0.003,0.009,0.014,0.045,0.09,0.067,0.054,0.037,0.031,0.039,0.026,0.019,0.011,0.013,0.04
30-34,0.024,0.017,0.005,0.002,0.003,0.009,0.019,0.024,0.068,0.092,0.064,0.047,0.045,0.049,0.035,0.023,0.017,0.016,0.03
35-39,0.024,0.025,0.003,0.001,0.004,0.004,0.014,0.018,0.055,0.065,0.068,0.047,0.043,0.048,0.034,0.023,0.016,0.009,0.041
40-44,0.022,0.018,0.003,0.002,0.006,0.005,0.015,0.018,0.041,0.053,0.051,0.059,0.043,0.06,0.037,0.023,0.014,0.008,0.036
45-49,0.012,0.018,0.003,0.001,0.004,0.005,0.011,0.013,0.031,0.045,0.042,0.039,0.043,0.046,0.035,0.018,0.014,0.008,0.053
50-54,0.013,0.007,0.005,0.002,0.004,0.005,0.013,0.015,0.038,0.047,0.045,0.052,0.044,0.056,0.037,0.026,0.013,0.009,0.039
55-59,0.012,0.016,0.003,0.002,0.005,0.006,0.009,0.015,0.028,0.037,0.035,0.035,0.037,0.04,0.038,0.027,0.017,0.024,0.033
60-64,0.001,0.005,0.004,0.002,0.006,0.004,0.006,0.013,0.024,0.028,0.028,0.025,0.022,0.034,0.032,0.015,0.011,0.006,0.046
65-69,0.003,0.001,NA,NA,0.001,0.002,0.004,0.013,0.014,0.022,0.02,0.016,0.019,0.018,0.021,0.012,0.01,0.005,0.022
70-74,NA,NA,NA,NA,NA,0.003,0.01,0.023,0.018,0.022,0.012,0.009,0.011,0.012,0.032,0.006,0.005,0.001,0.009
75+,NA,NA,NA,NA,0.001,0.005,0.026,0.034,0.033,0.025,0.033,0.026,0.043,0.033,0.026,0.03,0.013,0.006,0.009
