Date,Previously reported,Change,Confirmed cases
30/01/2020,2,0,2
03/02/2020,1,0,1
05/02/2020,1,0,1
08/02/2020,4,0,4
09/02/2020,1,0,1
11/02/2020,1,0,1
21/02/2020,1,0,1
24/02/2020,2,0,2
25/02/2020,5,0,5
26/02/2020,4,0,4
27/02/2020,7,0,7
28/02/2020,11,0,11
29/02/2020,5,0,5
01/03/2020,20,0,20
02/03/2020,39,0,39
03/03/2020,52,1,53
04/03/2020,49,0,49
05/03/2020,47,0,47
06/03/2020,73,0,73
07/03/2020,47,0,47
08/03/2020,50,0,50
09/03/2020,124,0,124
10/03/2020,223,0,223
11/03/2020,353,0,353
12/03/2020,415,0,415
13/03/2020,392,0,392
14/03/2020,314,0,314
15/03/2020,397,0,397
16/03/2020,546,-1,545
17/03/2020,680,0,680
18/03/2020,909,0,909
19/03/2020,931,0,931
20/03/2020,1082,-1,1081
21/03/2020,1036,0,1036
22/03/2020,1209,0,1209
23/03/2020,2019,0,2019
24/03/2020,2027,-1,2026
25/03/2020,2263,1,2264
26/03/2020,2612,1,2613
27/03/2020,2661,2,2663
28/03/2020,2376,-2,2374
29/03/2020,2441,-1,2440
30/03/2020,3527,-2,3525
31/03/2020,3788,-1,3787
01/04/2020,4100,2,4102
02/04/2020,4074,-2,4072
03/04/2020,4099,3,4102
04/04/2020,3392,-2,3390
05/04/2020,3084,0,3084
06/04/2020,4389,0,4389
07/04/2020,4578,-4,4574
08/04/2020,4296,9,4305
09/04/2020,4063,-2,4061
10/04/2020,3582,-5,3577
11/04/2020,3079,2,3081
12/04/2020,2948,0,2948
13/04/2020,3438,3,3441
14/04/2020,3562,6,3568
15/04/2020,4234,2,4236
16/04/2020,4369,-8,4361
17/04/2020,4085,-3,4082
18/04/2020,4126,-2,4124
19/04/2020,3474,0,3474
20/04/2020,3686,3,3689
21/04/2020,3971,-1,3970
22/04/2020,4796,0,4796
23/04/2020,4569,4,4573
24/04/2020,4367,-1,4366
25/04/2020,3372,0,3372
26/04/2020,3137,1,3138
27/04/2020,4031,1,4032
28/04/2020,4120,-2,4118
29/04/2020,4741,0,4741
30/04/2020,4316,-1,4315
01/05/2020,4094,2,4096
02/05/2020,2740,-1,2739
03/05/2020,2633,1,2634
04/05/2020,2847,-5,2842
05/05/2020,3144,3,3147
06/05/2020,3266,0,3266
07/05/2020,3204,-1,3203
08/05/2020,2620,2,2622
09/05/2020,1792,1,1793
10/05/2020,2008,0,2008
11/05/2020,3067,0,3067
12/05/2020,2927,0,2927
13/05/2020,2880,1,2881
14/05/2020,2210,-2,2208
15/05/2020,2130,-2,2128
16/05/2020,1771,-2,1769
17/05/2020,1590,2,1592
18/05/2020,2220,-3,2217
19/05/2020,2583,1,2584
20/05/2020,2354,0,2354
21/05/2020,2278,-3,2275
22/05/2020,1801,0,1801
23/05/2020,1300,0,1300
24/05/2020,1198,0,1198
25/05/2020,1380,2,1382
26/05/2020,1463,2,1465
27/05/2020,1615,0,1615
28/05/2020,1573,0,1573
29/05/2020,1370,1,1371
30/05/2020,1000,-1,999
31/05/2020,984,2,986
01/06/2020,1313,-1,1312
02/06/2020,1359,-4,1355
03/06/2020,1243,3,1246
04/06/2020,1137,0,1137
05/06/2020,1017,-2,1015
06/06/2020,717,0,717
07/06/2020,664,0,664
08/06/2020,991,1,992
09/06/2020,1056,1,1057
10/06/2020,1087,-2,1085
11/06/2020,919,-2,917
12/06/2020,938,-2,936
13/06/2020,786,2,788
14/06/2020,747,-1,746
15/06/2020,940,-1,939
16/06/2020,992,1,993
17/06/2020,911,-1,910
18/06/2020,945,-1,944
19/06/2020,813,2,815
20/06/2020,629,0,629
21/06/2020,551,1,552
22/06/2020,815,0,815
23/06/2020,729,0,729
24/06/2020,728,2,730
25/06/2020,635,3,638
26/06/2020,646,0,646
27/06/2020,502,0,502
28/06/2020,410,1,411
29/06/2020,667,0,667
30/06/2020,572,0,572
01/07/2020,607,0,607
02/07/2020,559,2,561
03/07/2020,541,-2,539
04/07/2020,386,0,386
05/07/2020,540,-1,539
06/07/2020,650,2,652
07/07/2020,555,2,557
08/07/2020,671,0,671
09/07/2020,682,0,682
10/07/2020,520,-1,519
11/07/2020,415,6,421
12/07/2020,347,4,351
13/07/2020,687,4,691
14/07/2020,645,6,651
15/07/2020,719,4,723
16/07/2020,639,0,639
17/07/2020,543,4,547
18/07/2020,465,1,466
19/07/2020,394,20,414
20/07/2020,745,8,753
21/07/2020,687,2,689
22/07/2020,743,2,745
23/07/2020,729,0,729
24/07/2020,699,4,703
25/07/2020,490,2,492
26/07/2020,513,2,515
27/07/2020,796,10,806
28/07/2020,736,31,767
29/07/2020,811,118,929
30/07/2020,598,107,705
31/07/2020,291,193,484
01/08/2020,17,314,331
02/08/2020,0,13,13
