,kernel,likelihood,mle,model,n_inducing_points,out_sample,run_time,test_dates,test_size,train_dates,train_size,var_out_sample,var_within_sample,week_1,week_2,week_3,within_sample
40,Product,Gaussian,-11.1,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",15,0.0004,89.69031994900024,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.8673,0.1393,-0.1427,-0.0466,0.1903,0.003
17,Matern32,Gaussian,141.04,"$f(t, S(t)^p, I(t)^p)$",15,-0.002,74.22441487399999,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0558,0.005,-0.1004,-0.014,0.1083,-0.0003
18,Matern32,Gaussian,101.95,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.0183,73.30497295099985,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0152,0.0096,0.051,0.0076,-0.1134,-0.0004
28,Matern32,Gaussian,101.94,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.0191,80.19366616100001,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0152,0.0096,0.0504,0.0067,-0.1145,-0.0004
32,Matern32,Gaussian,107.81,"$f(t, S(t)*I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,-0.0707,77.490594117,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0252,0.0084,-0.0757,-0.0727,-0.0636,-0.0009
42,Sum,Gaussian,158.33,"$f(t, I(t), Home(t))$",15,0.0831,87.24111602499988,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.1555,0.0034,-0.0874,0.0524,0.2844,0.0
16,Matern32,Gaussian,105.71,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,-0.0848,67.941195698,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0139,0.0089,0.0098,-0.0551,-0.2092,-0.0004
14,Sum,Gaussian,162.41,$f(S(t)+I(t))$,15,0.0942,86.74373325200031,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0083,0.0036,0.027,0.1293,0.1263,-0.0
29,Matern32,Gaussian,126.4,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p)$",15,0.0947,77.98257377799996,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0326,0.0063,-0.0395,0.0883,0.2353,-0.0004
3,Sum,Gaussian,162.41,$f(S(t)*I(t))$,15,0.0951,86.3917473890001,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0084,0.0036,0.0278,0.1302,0.1272,-0.0
7,Matern32,Gaussian,150.84,"$f(t, S(t)*I(t), Home(t), Work(t), Recreational(t))$",15,-0.1291,64.49252284299996,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0323,0.0041,-0.1269,-0.1261,-0.1343,-0.0002
11,Matern32,Gaussian,135.43,$f(t)$,15,0.1291,70.16557321099992,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.1506,0.0048,0.011,0.1396,0.2367,-0.0
13,Matern32,Gaussian,152.72,"$f(t, S(t)*I(t), Home(t))$",15,-0.1637,83.94250077599986,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0184,0.004,-0.102,-0.1454,-0.2436,-0.0001
19,Matern32,Gaussian,152.7,"$f(t, I(t), Home(t))$",15,-0.1642,80.84994884199989,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0184,0.004,-0.1024,-0.146,-0.2442,-0.0001
48,Product,Gaussian,133.1,"$f(t, S(t)^p, I(t)^p)$",15,-0.1799,88.75576420200014,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.8619,0.0078,-0.2626,-0.279,0.0018,0.0008
15,Matern32,Gaussian,147.17,"$f(t, S(t)*I(t))$",15,-0.1833,62.42801286099996,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0226,0.0046,-0.0978,-0.1609,-0.2913,-0.0
30,Matern32,Gaussian,147.17,"$f(t, S(t)+I(t))$",15,-0.1833,71.10613141699992,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0226,0.0046,-0.0978,-0.1609,-0.2913,-0.0
47,Product,Gaussian,118.88,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,-0.1841,88.99172569999973,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0128,0.0071,-0.0355,-0.1307,-0.3861,0.0006
