,kernel,likelihood,mle,model,n_inducing_points,out_sample,run_time,test_dates,test_size,train_dates,train_size,var_out_sample,var_within_sample,week_1,week_2,week_3,within_sample
4,Matern32,Gaussian,108.77,"$f(t, S(t)*I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,0.0353,68.54188474800003,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0244,0.0091,0.0424,0.038,0.0254,-0.001
9,Matern32,Gaussian,115.22,$f(t)$,15,-0.0369,61.199898453,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0956,0.0081,-0.0466,-0.0204,-0.0436,-0.0002
16,Sum,Gaussian,99.55,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",15,0.0546,74.12511581999934,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0354,0.012,0.2176,0.1023,-0.1562,0.0008
24,Matern32,Gaussian,111.84,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p)$",15,0.0571,63.24071141100012,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0312,0.0087,-0.0271,0.0352,0.1633,-0.0011
6,Product,Gaussian,120.65,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,-0.0621,85.52112284399982,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0131,0.0076,0.079,-0.0212,-0.2441,0.0015
13,Sum,Gaussian,172.37,$f(S(t)+I(t))$,15,0.0953,86.35302848299989,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0071,0.0037,0.0342,0.1301,0.1215,-0.0
22,Matern32,Gaussian,147.06,"$f(t, S(t)^p, I(t)^p)$",15,0.0966,79.86616183300009,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0694,0.0051,-0.0885,0.0746,0.3038,-0.0004
14,Matern32,Gaussian,133.65,"$f(t, I(t), Home(t))$",15,-0.0979,68.79054742599988,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0114,0.0065,-0.0072,-0.071,-0.2155,-0.0003
30,Matern32,Gaussian,133.65,"$f(t, S(t)*I(t), Home(t))$",15,-0.0988,62.218556345000025,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0114,0.0065,-0.0078,-0.0719,-0.2166,-0.0003
48,Product,Gaussian,101.45,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,-0.0992,85.63671048200013,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0707,0.0126,-0.0233,-0.0979,-0.1762,0.005
46,Sum,Gaussian,172.38,$f(S(t)*I(t))$,15,0.1004,86.10265610399983,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0072,0.0037,0.0393,0.1355,0.1265,-0.0
23,Matern32,Gaussian,138.89,$f(S(t)+I(t))$,15,-0.1073,70.612071259,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0097,0.0059,0.0428,-0.0799,-0.2849,-0.0001
53,Matern32,Gaussian,138.91,$f(S(t)*I(t))$,15,-0.1109,68.25466276600002,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0097,0.0059,0.0406,-0.0835,-0.2898,-0.0001
47,Matern32,Gaussian,128.63,"$f(t, S(t)*I(t), Home(t), Work(t), Recreational(t))$",15,-0.1142,76.416618621,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0245,0.0068,-0.083,-0.1167,-0.1428,-0.0006
43,Matern32,Gaussian,110.49,"$f(t, I(t), Home(t), Weekday(t))$",15,0.1167,67.85844979800004,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0124,0.0092,0.1494,0.147,0.0536,-0.0005
50,Matern32,Gaussian,145.39,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t))$",15,-0.1175,77.1543873170001,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0114,0.0054,-0.0323,-0.093,-0.2272,-0.0002
36,Matern32,Gaussian,110.5,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,0.1176,73.96874472799982,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0124,0.0092,0.15,0.1479,0.0547,-0.0005
