,kernel,likelihood,mle,model,n_inducing_points,out_sample,run_time,test_dates,test_size,train_dates,train_size,var_out_sample,var_within_sample,week_1,week_2,week_3,within_sample
37,Sum,Gaussian,432.31,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.006,99.2496288579996,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0371,0.0389,0.0007,-0.0144,-0.006,-0.0001
13,Product,Gaussian,395.04,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,0.0069,101.24144592900029,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0375,0.0404,0.0425,-0.0004,0.0062,0.0022
36,Matern32,Gaussian,93.86,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t))$",15,-0.0087,76.52063964499985,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0509,0.0523,0.0348,0.0402,-0.0109,0.0002
5,Product,Gaussian,-130.38,"$f(t, I(t), Home(t))$",15,0.0092,99.11010234900004,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0608,0.0637,0.0185,0.0527,0.0079,-0.0422
28,Product,Gaussian,-690.63,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",15,-0.0155,105.87932628199997,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.2137,0.225,0.0573,-0.0701,-0.0159,0.0084
11,Sum,Gaussian,163.43,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",15,0.0236,103.63697162199969,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.049,0.0519,-0.0373,0.0499,0.0244,0.0003
39,Product,Gaussian,-517.18,$f(S(t)+I(t))$,15,-0.0279,97.26769888700005,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0892,0.0896,-0.0039,0.035,-0.03,0.0378
31,Product,Gaussian,145.45,"$f(t, S(t)*I(t), Home(t))$",15,0.0282,100.0623002719999,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0469,0.05,0.0459,0.0525,0.0272,-0.0132
2,Matern32,Gaussian,161.95,"$f(t, S(t)*I(t), Home(t))$",15,0.033,71.83719348399995,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0464,0.0492,0.0415,0.0463,0.0325,-0.0
18,Product,Gaussian,86.91,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,0.0415,105.28053787099998,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0496,0.0525,0.0611,0.0218,0.0415,-0.0142
